name,email,address,contact,jurisdiction__slug,other_names,description,tags,parent__name,classification,url,website_dump,request_note
Natural Energy Laboratory of Hawaii Authority,nelha@nelha.org,"73-4460 Queen Kaahumanu Hwy. #101
Kailua Kona, HI  96740-2637","Phone:  (808) 327-9585
Fax:  (808) 327-9586",state-of-hawaii,,"NELHA’s mission is to develop and diversify the Hawaii economy by providing resources and facilities for energy and ocean-related research, education, and commercial activities in an environmentally sound and culturally sensitive manner.","NELHA, energy, sustainable, Hawaii Ocean Science and Technology Park, technology",,"Department of Business, Economic Development & Tourism",http://nelha.hawaii.gov,,
Oahu Metropolitan Planning Organization,OahuMPO@OahuMPO.org,"707 Richards Street, Suite 200
Honolulu, HI  96813","Phone:  (808) 587-2015
Fax:  (808) 587-2018",state-of-hawaii,,"The Oahu Metropolitan Planning Organization, commonly called OahuMPO, is responsible for coordinating transportation planning on Oahu.","MPO,Oahu MPO,planning,transportation",,,http://www.oahumpo.org,,
Office of the City Auditor,oca@honolulu.gov,"1001 Kamokila Blvd, Suite 216
Kapolei, Hawaii 96707","Phone: (808) 768-3130
Fax: (808) 768-3135",city-and-county-of-honolulu,,The Office of the City Auditor (OCA) is an independent audit agency created to strengthen the auditing function and ensure that city agencies and programs are held to the highest standards of public accountability. The city auditor is responsible for conducting: 1) the annual financial audit; 2) performance audits of any agency or operation of the city; and 3) follow-up audits and monitoring of audit recommendations.,"OCA,auditor,audit,investigation",,,http://www.honolulu.gov/auditor.html,,
Office of Consumer Protection,ocp@dcca.hawaii.gov,"235 S. Beretania St., Suite 801
Honolulu, HI  96813","Phone:  (808) 586-2630
Fax:  (808) 586-2640",state-of-hawaii,,"The Office of Consumer Protection (“OCP”) serves as the consumer counsel for the State of Hawaii under Chap. 487 of the Hawaii Revised Statutes (“HRS”). As consumer counsel for the state, OCP is the primary agency responsible for reviewing, investigating and prosecuting allegations of unfair or deceptive trade practices in consumer transactions. In addition to its enforcement powers, OCP provides consumer education and promotes awareness of important consumer protection issues through its programs, media releases, and educational materials.","consumer, consumer protection, unfair, deceptive, investigation",,Department of Commerce & Consumer Affairs,http://cca.hawaii.gov/ocp/,,
Office of Council Services,ocs@honolulu.gov,"530 S. King Street
Honolulu, HI 96813","Phone: (808) 768-3809
Fax: (808) 768-1370",city-and-county-of-honolulu,,"The Office of Council Services (OCS) provides comprehensive research and reference services for the council. It conducts research and drafts legislation, revises city ordinances, and serves in an advisory capacity to the council and its committees.","OCS,council,research",,,http://www.honolulu.gov/ocs/default.html,,
Office of Environmental Quality Control,oeqchawaii@doh.hawaii.gov,"235 S. Beretania Street, Suite 702
Honolulu, HI  96813","Phone:  (808) 586-4185
Fax:  (808) 586-4186",state-of-hawaii,,"OEQC’s main objective is implementing Chapter 343, HRS, Environmental Impact Statement Law and Chapter 11-200, HAR, Environmental Impact Statement Rules. The OEQC director and planners review and comment on environmental disclosure documents.","OEQC,environmental,FEIS,impact statement,Environmental Council,environment",,Department of Health,http://health.hawaii.gov/oeqc/,,
Office of Housing & Community Development,ohcd@hawaiicounty.gov,"50 Wailuku Drive
Hilo, HI 96720-2456","Phone: (808) 961-8379
Fax: (808) 961-8685",county-of-hawaii,,"The Office of Housing and Community Development is responsible for the planning, administration and operation of all of the County of Hawai‘i’s housing programs such as the Section 8 rental assistance for qualified families. Its overall goal is to provide for the development of viable communities in Hawaii County by providing decent housing, suitable living environments and expanding economic opportunities.","shelter,homeless,houseless,social services,youth,youth services,workforce,rental assistance,section 8,housing,development,Hawaii County Workforce Development Board,affordable housing",,,http://www.hawaiicounty.gov/office-of-housing/,,
Office of Information Practices,oip@hawaii.gov,"250 S. Hotel St., Room 107
Honolulu, HI  96813","Phone:  (808) 586-1400
Fax:  (808) 586-1412",state-of-hawaii,,"OIP renders advice and assistance on questions concerning the public’s right to access to government records or meetings, and also provides training to help agencies comply with the laws.","public records,open meetings,Sunshine,UIPA,OIP,investigation",,Department of Accounting & General Services,http://oip.hawaii.gov,,
Office of Language Access,ola@doh.hawaii.gov,"830 Punchbowl Street #322
Honolulu, HI  96813","Phone:  (808) 586-8730
Fax:  (808) 586-8733",state-of-hawaii,,"The Office of Language Access provides centralized oversight, coordination, and technical assistance to State agencies (the executive, legislative and judicial branches of Hawai‘i’s state government) and organizations that receive state funding, regarding the implementation requirements of Hawai‘i’s Language Access Law.","OLA,language access,civil rights,Language Access Advisory Council",,Department of Health,http://health.hawaii.gov/ola/,,
Department of Parks & Recreation,parks_recreation@hawaiicounty.gov,"Aupuni Center, 101 Pauahi Street, Suite 6
Hilo, HI 96720","Phone: (808) 961-8311
Fax: (808) 961-8411",county-of-hawaii,,Provides administrative and organizational support services to all the divisions/sections and band to achieve the development and implementation of the department’s programs and services.,"parks,recreation,camping,band,pool,facilities,forestry,Hawaii County Band,cemetary,culture,Hilo Municipal Golf Course,Honolulu Complex,Panaewa Recreational Complex,Veterans Advisory Committee,West Hawaii Band,permitting",,,http://www.hawaiicounty.gov/parks-and-recreation/,,
Department of Parks & Recreation,parks.dept@mauicounty.gov,"700 Halia Nakoa St. Unit 2
Wailuku, HI 96793","Phone: (808) 270-7230
Fax: (808) 270-7934",county-of-maui,,"The Department of Parks & Recreation operates and maintains the County's numerous parks, recreation areas and recreational service programs for the residents of Maui County. The Department also coordinates with other County departments on enforcement of rules and regulations for parks and recreation facilities and their use, and countywide beautification.","ocean safety,lifeguard,beach,parks,recreation,camping,pool,facilities,forestry,culture,Waiehu Golf Course,planning,development,permitting,Maui County Arborist Committee",,,http://www.co.maui.hi.us/119/Parks-Recreation,,
Department of Parks & Recreation,parks@honolulu.gov,"1000 Uluohia Street, Suite 309
Kapolei, Hawaii 96707","Phone: (808) 768-3003
Fax: (808) 768-3053",city-and-county-of-honolulu,,"The Department of Parks and Recreation (DPR) manages, maintains, and operates all city parks and recreational facilities; develops and implements programs for cultural and recreational activities; and beautifies the city’s public streets.","DPR,parks,recreation,camping,culture,pool,facilities,open market,people's open market,honolulu botanical gardens,forestry,community gardens,gardens,Board of Parks & Recreation,permitting",,,http://www.honolulu.gov/parks/default.html,,
Department of Personnel Services,personnel.services@mauicounty.gov,"200 S. High Street
Kalana O Maui Bldg, Suite 623
Wailuku, HI 96793","Phone: (808) 270-7850
Fax: (808) 270-7969",county-of-maui,,"The Department of Personnel Services provides recruitment and staffing support for jobs at the County of Maui. You can find out about our current job openings, how to apply for jobs that interest you, or sign up to be notified of future postings. ","employee claims,employee relations,classification,Civil Service,personnel,employee,benefits,labor relations,occupational safety,safety,workers' compensation,workforce,occupational health,Civil Service Commission",,,http://www.co.maui.hi.us/1719/Personnel-Services,,
Planning Department,planning@co.hawaii.hi.us,"Aupuni Center, 101 Pauahi Street, Suite 3
Hilo, HI 96720","Phone: (808) 961-8288
Fax: (808) 961-8742",county-of-hawaii,,"The Planning Department provides technical advice to the Mayor, Planning Commission, and County Council on all planning and land use matters. The Department is also charged with the administration of the Subdivision and Zoning Codes. The major Divisions of the Department are: Administrative Services, Administrative Permits, Planning, and Long-Range Planning.","planning,permitting,building,development,land use,planning commission,zoning,Board of Appeals,Cultural Resources Commission,Arborist Advisory Committee,Leeward Planning Commission,Kona Community Development Plan Steering Committee,Kona Community Development Plan Action Committee,Kailua Village Design Commission,North Kohala Community Development Plan Action Committee,Puna Community Development Plan Action Committee,South Kohala Community Development Plan Action Committee,Windward Planning Commission,Leeward/Windward Planning Commission,design",,,http://www.cohplanningdept.com/,,
Department of Planning,planning@mauicounty.gov,"2200 Main Street
One Main Plaza, Suite 315
Wailuku, HI 96793","Phone: (808) 270-7735
Fax: (808) 270-7634",county-of-maui,,"The Department of Planning offers technical advice to the Mayor, County Council and commissions; proposes zoning legislation; drafts updates to the General Plan, Maui Island Plan and Community Plans; presents reports & recommendations on development proposals; and oversees programs on cultural resources, census and geographic information, flood plain permits and other special projects and permits.","planning,permitting,building,development,land use,design,zoning,GIS,geographic information systems,Board of Variances and Appeals,Hana Advisory Committee to Maui Planning Commission,Lanai Planning Commission,Maui County Cultural Resources Commission,Maui Planning Commission,Maui Redevelopment Agency,Molokai Planning Commission,Urban Design Review Board",,,http://www.co.maui.hi.us/121/Planning-Department,,
Department of the Prosecuting Attorney,prosecuting.attorney@mauicounty.gov,"150 S. High Street
Old Court House Bldg
Wailuku, HI 96793","Phone: (808) 270-7777
Fax: (808) 270-7625",county-of-maui,,"The Department of the Prosecuting Attorney for the County of Maui serves the islands of Maui, Molokai, and Lanai. It is responsible for the prosecution of those who violate the criminal and traffic laws or rules and regulations of the State of Hawaii and the County of Maui.","crime,criminal,investigation,legal,lawyer,attorney",,,http://www.co.maui.hi.us/123/Prosecuting-Attorney,,
Office of the Prosecuting Attorney,prosecutor@kauai.gov,"3990 Kaana Street, Suite 210 
Līhu'e, HI 96766","Phone: (808) 241-1888
Fax: (808) 241-1758 ",county-of-kauai,,"It is our mission to promote the fair, impartial and expeditious pursuit of justice in every case, to ensure safer communities, and to promote integrity in our profession.  It is our mission to temper justice with compassion, and to do our work in an open, transparent, and accountable way.","crime,criminal,investigation,legal,lawyer,attorney",,,http://www.kauai.gov/ProsecutingAttorney,,
Department of Public Safety,psd.office.of.the.director@hawaii.gov,"919 Ala Moana Boulevard
Honolulu, HI 96814
",Ph: 808 587-1288,state-of-hawaii,,"To uphold justice and public safety by providing correctional and law enforcement services to Hawaii’s communities with professionalism, integrity and fairness.","prison,crime,criminal,sheriff,corrections,law enforcement,reentry,correctional facility,correctional center,corrections population management commission,PSD,investigation,internal affairs,narcotics,jail,Oahu Community Correctional Center,Hawaii Community Correctional Center,Kauai Community Correctional Center,Maui Community Correctional Center,Women's Community Correctional Center,Halawa Correctional Facility,Waiawa Correctional Facility,Kulani Correctional Facility,Correctional Industries Advisory Committee,public safety,safety,emergency",,,http://dps.hawaii.gov/,,
Hawaii Paroling Authority,psd.office.of.the.director@hawaii.gov,"1177 Alakea Street, Ground Floor
Honolulu, HI  96813","Phone:  (808) 587-1300
Fax:  (808) 587-1314",state-of-hawaii,,,"HPA,parole,paroling authority",,Department of Public Safety,http://dps.hawaii.gov/hpa/,,
Department of Public Works,public_works@hawaiicounty.gov,"Aupuni Center, 101 Pauahi Street, Suite 7
Hilo, HI 96720","Phone: (808) 961-8321
Fax: (808) 961-8630",county-of-hawaii,,"The Department of Public Works is composed of six (6) divisions: Administration, Automotive, Building, Engineering, Highway Maintenance and Traffic.  They administer regulatory and code enforcements to improve the health and safety of our ‘Ohana.","design,construction,development,CIP,capital improvements,real property,building,facility,facilities,maintenance,facility maintenance,custodial,bridges,equipment,streets,roads,traffic,highways,parking,transportation,Board of Appeals,public works",,,http://www.hawaiicounty.gov/public-works/,,
Department of Transportation,public.transit@mauicounty.gov,"2145 Kaohu Street
Trask Bldg, Suite 102
Wailuku, HI 96793","Phone: (808) 270-7511
Fax: (808) 270-7505",county-of-maui,,"The Department of Transportation responsibilities include the following: planning and implementation of all modes of transportation in Maui County, including those in the air and those on water and land, planning and developing an efficient program to facilitate the rapid, safe, and economical movement of people and goods in Maui County, and coordinating Maui County's transportation programs with other county departments and with agencies of the state and federal government.","bus,transportation,transit,paratransit,Maui Metropolitan Planning Organization,Maui MPO,MMPO,maui bus,planning",,,http://www.co.maui.hi.us/125/Department-of-Transportation,,
Department of Public Works,public.works@mauicounty.gov,"200 S. High Street
Kalana O Maui Bldg. 4th Fl
Wailuku, HI 96793","Phone: (808) 270-7845
Fax: (808) 270-7955",county-of-maui,,"Public Works Administration directs and oversees the three operating divisions in the Department of Public Works - Development Services Administration, Engineering Division, and Highways Division.","design,construction,development,CIP,capital improvements,real property,building,facility,facilities,maintenance,facility maintenance,custodial,bridges,equipment,streets,roads,traffic,highways,parking,public works,permitting,Public Works Commission",,,http://www.co.maui.hi.us/124/Public-Works,,
Office of the Legislative Auditor,publiclao@co.hawaii.hi.us,"1266 Kamehameha Avenue, Suite A-8
Hilo, HI  96720","Phone:  (808) 961-8386
Fax:  (808) 961-8905",county-of-hawaii,,"The Office of the Legislative Auditor conducts impartial financial and performance audits of County agencies, programs, and operations, responsible for procuring an independent certified public accountant to conduct a post-audit of the County’s financial transactions and assists the Council in its adoption of annual budgets. The OLA also initiates audit evaluations or special studies, either on request of the Council or on its own initiative.","auditor,audit,investigation,OLA",,,http://www.hawaiicounty.gov/legislative-auditor/,,
Department of Public Works,publicworks@kauai.gov,"4444 Rice Street, Suite 275
Lihue, HI 96766","Phone: (808) 241-4992
Fax: (808) 241-6604 ",county-of-kauai,,"The Department of Public Works consist of seven divisions: Administration, Automotive Repair Shop, Building, Engineering, Highways & Roads Construction, Solid Waste Management, and Wastewater Management. Public Works are responsible for the planning, design, and construction of all new improvements to County-owned facilities, excluding Department of Water projects. The maintenance, repair and upkeep of all County facilities, roads, and vehicles; the collection and disposal of garbage and refuse, the collection and treatment of sewage, the permitting, reviewing and enforcement of various codes and other regulations pertaining to public and private construction work are also responsibilities of this Department.","design,construction,development,CIP,capital improvements,real property,building,facility,facilities,maintenance,facility maintenance,custodial,bridges,equipment,streets,roads,traffic,highways,parking,transportation,environmental,environmental management,wastewater,trash,opala,solid waste,recycling,bulky,greenwaste,landfill,Kekaha Municipal Solid Waste Landfill,permitting,building,environmental services,public works,environment",,,http://www.kauai.gov/PublicWorks,,
Research Corporation of the University of Hawaii,rcuhed@rcuh.com,"2800 Woodlawn Drive, Suite 200
Honolulu, HI  96822","Phone:  (808) 988-8311
Fax:  (808) 988-8319",state-of-hawaii,,"The fundamental mission of RCUH is to support the research and training programs of the University of Hawaii and to enhance research, development, and training generally in Hawaii.","RCUH,research,UH,grants,funding",,University of Hawaii,http://www.rcuh.com,,
Senate,sclerk@capitol.hawaii.gov,"Hawaii State Capitol
415 South Beretania St.
Honolulu, HI 96813","Ph: 808 586-6720
Fax: 808 586-6719 ",state-of-hawaii,,,"legislature, legislative",,,http://www.capitol.hawaii.gov/senate.aspx,,
Office of the Lieutenant Governor,shan.tsutsui@hawaii.gov,"The Honorable Shan S. Tsutsui
Lieutenant Governor, State of Hawai`i
State Capitol
Honolulu, Hawai`i 96813","Ph: 808 586-0255
Fax: 808 586-0231",state-of-hawaii,,"The Lieutenant Governor serves as the assistant chief executive, becoming Acting Governor upon the absence of the Governor from the state.  In Hawai‘i, the Lieutenant Governor also serves as the legally designated Secretary of State.  This designation requires the Office of the Lieutenant Governor to be responsible for the following:  Issuing Orders granting legal name changes; Certifying U.S. documents for recognition abroad; Processing documents that convey state lands inter-departmentally; and Serving as the repository for various types of official documentation for public review and consumption.","LTG,Lieutenant Governor,Governor,secretary,name change,certification",,,http://ltgov.hawaii.gov/,,
State Procurement Office,state.procurement.office@hawaii.gov,"1151 Punchbowl Street
Honolulu, HI  96813","Phone:  (808) 586-0554
Fax:  (808) 587-4703",state-of-hawaii,,"To promote economy, efficiency, effectiveness, and impartiality in procurement for State and county governments; and efficiency, effectiveness and stewardship in inventory management and surplus property management in an open, fair and transparent process.","Procurement Policy Board, procurement, purchasing, contractor, vendor, contract",,Department of Accounting & General Services,http://spo.hawaii.gov,,
Department of Taxation,tax.directors.office@hawaii.gov,"P.O. Box 259
Honolulu, HI  96809-0259","Phone:  (808) 587-1540
Fax:  (808) 587-1560",state-of-hawaii,,"Our mission is to administer the tax laws of the State of Hawaii in a consistent, uniform, and fair manner.","board of taxation review,DOTAX,tax,taxation",,,http://tax.hawaii.gov/,,
Council on Revenues,tax.directors.office@hawaii.gov,"P.O. Box 259
Honolulu, HI  96809-0259","Phone:  (808) 587-1540
Fax:  (808) 587-1560",state-of-hawaii,,"The Council on Revenues, established under section 37-111, Hawaii Revised Statutes, prepares revenue estimates of the state government for each fiscal year of the six-year state program and financial plan.","COR,revenues,financial plan,forecast",,Department of Taxation,http://tax.hawaii.gov/useful/a9_1cor/,,
Transportation Agency,thekauaibus@kauai.gov,"3220 Ho'olako St.
Lihue, Kauai, Hawaii 96766","Phone: (808) 246-8110
Fax:  (808) 241-6417",county-of-kauai,,The Kaua'i Bus operates a Public (Fixed Route) bus service and a Paratransit (Door-to-Door) bus service from Hanalei to Kekaha daily.,"Kauai Bus,bus,transportation,transit,paratransit,Transit Advisory Committee",,,http://www.kauai.gov/Transportation,,
Honolulu Authority for Rapid Transportation,transitmailbox@honolulu.gov,"1099 Alakea Street, Suite 1700
Honolulu, HI 96813",Phone: (808) 566-2299,city-and-county-of-honolulu,,"The Revised Charter of the City and County of Honolulu authorizes the Honolulu Authority for Rapid Transportation (HART) to develop, operate, maintain, and expand the city’s fixed guideway system.","HART,rail,planning,development,transportation,transit",,,http://www.honolulutransit.org/,,
University of Hawaii,ur@hawaii.edu,"External Affairs and University Relations
2444 Dole Street
Bachman 109H
Honolulu, HI 96822",Ph: 808 956-8856,state-of-hawaii,,"The University of Hawai‘i System includes 10 campuses and educational, training and research centers across the Hawaiian Islands.","regent,board of regents,athletics,college,Lyon Arboretum,Institute for 
Astronomy,Cancer Center,Institute for Geophysics & Planetology,Institute for Marine Biology,Natural Energy Institute,Industrial Relations Center,Sea Grant College Program,Social Sciences Research Institute,Economic Research Organization,HERO,Center for Nursing,Medical Education Council,Waikiki Aquarium,Water Resources Research Center,Center for Gifted & Talented Children,Center for 
Global Education & Exchange,Center for the Study of Active Volcanoes,Small Business Development Center,Imiloa Astronomy Center,North Hawaii Education & Research Center,NHERC,Office of Mauna Kea Management,Pacific Aquaculture & Coastal Resources Center,Center for Labor Education & Resarch,Western Interstate Commission for Higher Education,WICHE,Commission for National & Community Service,veteran's training,UH,University of Hawaii at Hilo,University of Hawaii at Manoa,Hawaii Community College,Hawaii Community College Palamanui,University of hawaii Maui College,UH Center Maui,Hana Education Center,Lahaina Education Center,Lanai Education 
Center,Molokai Education Center,University of hawaii West Oahu,Honolulu Community College,Kapiolani Community College,Leeward Community College,Windward Community College,Waianae Community College,Kauai Community College,UH Center Kauai,Candidate Advisory Council,research,education,college,university,library,Center for Nursing Advisory Board,Hawaii Medical Education Council,State Approving Agency 
for Veterans' Training",,,https://www.hawaii.edu/offices/eaur/,,
Department of Water Supply,water.supply@mauicounty.gov,"200 S. High St.
Kalana O Maui Bldg, 5th Fl
Wailuku, HI 96793",Phone:  (808) 270-8046,county-of-maui,,"The Department of Water Supply is an agency of the County of Maui. Our mission is to provide clean water efficiently. We provide water to approximately 35,700 services on Maui and Molokai. The water we provide meets all state and federal water quality standards. Take a look around our site to learn more. ","water,planning,Board of Water Supply",,,http://www.co.maui.hi.us/126/Department-of-Water-Supply,,
Department of Information Technology,webadministrator@hawaiicounty.gov,"25 Aupuni Street
Hilo, HI 96720","Phone: (808) 932-2960
Fax: (808) 981-2037",county-of-hawaii,,"The Department of Information Technology is primarily responsible for managing and operating the County’s central computer system and telecommunications network which permits shared use of all County departments and agencies. It also plays a leading role in advising County agencies on computer-related matters, coordinating the purchase and use of computer equipment and software, and providing end user computer training and support for County employees.","DIT,information technology,IT,computer,technology,GIS,geographic information systems",,,http://www.hawaiicounty.gov/information-technology/,,
Department of Health,webmail@doh.hawaii.gov,"1250 Punchbowl St.
Honolulu, Hawaii 96813","Ph: 808 586-4400
Fax 808 586-4444",state-of-hawaii,,"To monitor, protect and enhance the health of all people in Hawaii by providing leadership in assessment, policy development, and assurance to promote health and well-being, to preserve a clean, healthy and natural environment, and to assure basic health care for all.","behavioral health,mental health,alcohol abuse,drug abuse,hipaa,disability,DCAB,developmental disabilities,environmental,health care,OHCA,health planning,health information,substance abuse,hazard evaluation,HEER,environmental planning,emergency,vector control,sanitation,clean air,clean water,safe drinking water,solid & hazardous waste,wastewater,water,solid waste,hazardous,environmental health,tobacco,communicable disease,tuberculosis,STD,AIDS,Hansen's Disease,disease,emergency medical,immunization,Board of Health,DOH,Disability and Communication Access Board,State Council on Developmental Disabilities,Office of Health Care Assurance,State Health Planning and Development Agency,Statewide Health Coordinating Council,State Council on Mental Health,Board on Mental Health and Substance Abuse,Hawaii Advisory Commission on Drug Abuse and Controlled Substances,Hawaii State Emergency Response Commission,Drug Product Selection Board,Radiologic Technology Board,Board of Certification of Public Water System Operators,Board of Certification of Operating Personnel in Wastewater Treatment Plants,Tobacco Prevention and Control Advisory Board,State Emergency Medical Services Advisory Committee,Hawaii Early Intervention Coordinating Council,hazardous,environment",,,http://health.hawaii.gov/,,
Department of Water,webmaster@kauaiwater.org,"4398 Pua Loke St.
Lihue, HI  96766",Phone: (808) 245-5400,county-of-kauai,,"Kauai’s  Department of Water operates 9 separate, unconnected water systems spread out along our island from Kekaha to Haena. The Department of Water monitors, operates, and maintains 50 deepwell pumping stations, 19 booster pumping stations along with its associated electrical motor control centers and chlorination disinfection equipment, 4 tunnel sources, 58 storage tanks, 75 control valve stations, and over 400+ miles of pipeline to approximately 21,000 consumer water service connections and meters.","water,planning,DOW",,,http://www.kauaiwater.org/page2.asp,,
Office of the Governor,,"Alan Sarhan
Office of the Governor
Information Services
415 South Beretania Street 
Honolulu, HI 96813",Ph: 808 586-0034,state-of-hawaii,,,"GOV, governor",,,http://governor.hawaii.gov/,,"If there is no email, all requests should be sent to this address"
Department of Hawaiian Home Lands,,"P.O. Box 1879
Honolulu, HI  96805","Phone:  (808) 620-9590
Fax:  (808) 620-9599",state-of-hawaii,,To manage the Hawaiian Home Lands Trust effectively and to develop and deliver Hawaiian home lands to native Hawaiians.,"homestead, Hawaiian Homes Commission, DHHL, Hawaiian, Home Lands, land use, development, planning",,,http://dhhl.hawaii.gov,,
Judiciary,,"Ali`iolani Hale
417 South King Street
Honolulu, Hawai`i 96813-2943",Ph: 808 539-4909,state-of-hawaii,,,"judges,access to justice,court,judicial selection commission,law library,judiciary history center,center for alternative dispute resolution,children's justice center,public guardian,judicial council,disciplinary counsel,interstate adult offender supervision,interstate juvenile supervision,ODC,Office of Disciplinary Counsel,financial disclosure,commission on judicial conduct,State Council for Interstate Adult Offender Supervision,State Council for Interstate Juvenile Supervision",,,http://www.courts.state.hi.us/,,
Hawaii Health Systems Corporation,,"3675 Kilauea Avenue
Honolulu, HI  96816","Phone:  (808) 733-4020
Fax:  (808) 733-4028",state-of-hawaii,,"HHSC is the largest provider of health care in the islands, other than on Oahu and Molokai, and is the only acute care provider on the islands of Maui and Lanai. HHSC is the “Safety Net” for Neighbor Island acute care and the “Safety Net” for long-term care in the state of Hawaii.","hospital,Hilo Medical Center,Yukio Okutsu State Veterans Home,Hale Ho'ola Hamakua,Ka'u Hospital,Kona Community Hospital,Kohala Hospital,Maui Memorial Medical Center,Lanai Community Hospital,Kula Hospital,Leahi Hospital,Kaua‘i Veterans Memorial Hospital,Samuel Mahelona Memorial Hospital,Ali'I Community Care,Roselani Place,Ali'I Health Center,Kahuku Medical Center,HHSC",,Department of Health,http://www.hhsc.org,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
